size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,30,500,0,0,0,84,0.17375,0.10666666666666667,1,0,0,1.1968780000461265,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,60,400,0,1,1,74,-0.14875,-0.05333333333333334,1,0,0,0.964716799906455,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,45,100,0,2,2,9,-0.27375,0.4911111111111111,1,0,0,0.9983824999071658,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,15,200,0,3,3,23,-0.1825,0.52,1,0,0,0.598511700052768,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,30,400,0,4,4,66,0.08125,0.18444444444444444,1,0,0,1.164087500073947,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,30,300,0,5,5,46,-0.0275,0.31333333333333335,1,0,0,0.5986863999860361,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,45,200,0,6,6,31,-0.14125,0.38222222222222224,1,0,0,0.5488939000060782,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,30,100,0,7,7,4,-0.2525,0.5488888888888889,1,0,0,0.9811233999207616,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,15,400,0,8,8,63,0.0875,0.45555555555555555,1,0,0,1.1317564999917522,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,15,300,0,9,9,42,-0.01,0.44,1,0,0,0.6326132999965921,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,45,200,0,10,10,30,-0.18,0.39555555555555555,1,0,0,0.7481876000529155,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,60,100,0,11,11,15,-0.31,0.5444444444444444,1,0,0,0.5486530000343919,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,60,500,0,12,12,94,-0.04,-0.2577777777777778,1,0,0,0.7481667000101879,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,15,400,0,13,13,61,0.1075,0.4311111111111111,1,0,0,0.9144216999411583,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,75,300,0,14,14,58,-0.28,0.044444444444444446,1,0,0,0.9148525000782683,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,30,500,0,15,15,85,0.17375,0.09333333333333334,1,0,0,0.8480684999376535,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,75,200,0,16,16,37,-0.285,0.2222222222222222,1,0,0,1.113900399999693,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,75,500,0,17,17,97,-0.22625,-0.4177777777777778,1,0,0,1.064450600068085,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,30,500,0,18,18,87,0.12625,0.12666666666666668,1,0,0,0.748432399937883,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,30,400,0,19,19,67,0.02875,0.2288888888888889,1,0,0,0.682060599909164,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,15,400,0,20,20,62,0.07625,0.44666666666666666,1,0,0,0.76446139998734,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,75,300,0,21,21,59,-0.26125,0.057777777777777775,1,0,0,0.7314175999490544,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,15,100,0,22,22,2,-0.3075,0.6266666666666667,1,0,0,1.2980780999641865,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,30,100,0,23,23,7,-0.25625,0.5533333333333333,1,0,0,0.4487877000356093,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,15,100,0,24,24,0,-0.24875,0.5955555555555555,1,0,0,0.5819116999628022,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,30,400,0,25,25,65,0.085,0.19333333333333333,1,0,0,0.9807692999020219,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,60,300,0,26,26,52,-0.2025,0.11333333333333333,1,0,0,1.1149465000489727,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,75,500,0,27,27,98,-0.2225,-0.3888888888888889,1,0,0,0.8814698000205681,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,60,200,0,28,28,34,-0.23125,0.32,1,0,0,0.648462799959816,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,15,200,0,29,29,22,-0.08875,0.5355555555555556,1,0,0,0.8318783000577241,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,60,200,0,30,30,33,-0.23875,0.28888888888888886,1,0,0,0.9813068999210373,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,75,400,0,31,31,78,-0.2625,-0.1688888888888889,1,0,0,0.7485316999955103,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,45,100,0,32,32,8,-0.2775,0.5,1,0,0,1.181110000004992,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,15,500,0,33,33,83,0.17375,0.42444444444444446,1,0,0,1.0640395999653265,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,45,100,0,34,34,11,-0.24125,0.49777777777777776,1,0,0,0.48196000000461936,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,60,100,0,35,35,13,-0.28875,0.5066666666666667,1,0,0,0.5983604999491945,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,30,300,0,36,36,44,-0.07,0.36,1,0,0,0.9813684000400826,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,60,400,0,37,37,72,-0.12125,-0.08888888888888889,1,0,0,1.0481773000210524,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,60,100,0,38,38,12,-0.29875,0.48,1,0,0,0.8648510000202805,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,75,200,0,39,39,39,-0.31125,0.3422222222222222,1,0,0,0.548957800026983,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,75,500,0,40,40,99,-0.18375,-0.36,1,0,0,0.6486238000215963,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,60,200,0,41,41,32,-0.245,0.29333333333333333,1,0,0,0.6816177000291646,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,75,400,0,42,42,77,-0.27,-0.1688888888888889,1,0,0,0.9308354000095278,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,15,400,0,43,43,60,0.13625,0.4444444444444444,1,0,0,1.114116600016132,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,60,100,0,44,44,14,-0.28,0.48444444444444446,1,0,0,0.5650353999808431,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,15,300,0,45,45,43,-0.07,0.4666666666666667,1,0,0,0.5487456999253482,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,45,200,0,46,46,29,-0.18375,0.3422222222222222,1,0,0,0.9315884999232367,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,45,500,0,47,47,88,0.065,-0.11777777777777777,1,0,0,1.7303943999577314,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,15,500,0,48,48,82,0.225,0.4222222222222222,1,0,0,0.9984473999356851,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,30,200,0,49,49,27,-0.14375,0.45111111111111113,1,0,0,0.5317619000561535,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,75,400,0,50,50,79,-0.2275,-0.1511111111111111,1,0,0,0.6984422999667004,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,75,400,0,51,51,76,-0.23875,-0.19555555555555557,1,0,0,1.2477268000366166,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,30,200,0,52,52,25,-0.18,0.42,1,0,0,0.7150790999876335,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,60,200,0,53,53,35,-0.20625,0.3422222222222222,1,0,0,0.4988219999941066,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,75,200,0,54,54,36,-0.31625,0.24,1,0,0,0.8316946999402717,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,75,100,0,55,55,16,-0.34125,0.4666666666666667,1,0,0,0.8482867000857368,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,45,300,0,56,56,48,-0.11,0.18444444444444444,1,0,0,0.7161638999823481,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,30,200,0,57,57,24,-0.16125,0.43777777777777777,1,0,0,1.2814327999949455,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,30,100,0,58,58,6,-0.3,0.5311111111111111,1,0,0,0.5319029999664053,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,75,300,0,59,59,56,-0.27,0.05333333333333334,1,0,0,0.8646351000061259,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
100,45,200,0,60,60,28,-0.19375,0.35333333333333333,1,0,0,0.8985117999836802,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,30,300,0,61,61,45,-0.04875,0.32666666666666666,1,0,0,1.1310968999750912,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,30,300,0,62,62,47,-0.08,0.3,1,0,0,0.6152556000743061,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,60,300,0,63,63,53,-0.175,0.06666666666666667,1,0,0,0.8481395000126213,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,45,400,0,64,64,69,-0.00125,0.03333333333333333,1,0,0,0.6322161999996752,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
400,45,400,0,65,65,71,-0.02625,0.051111111111111114,1,0,0,0.616087400005199,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
300,60,300,0,66,66,54,-0.2225,0.12222222222222222,1,0,0,1.5306726999115199,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
200,75,300,0,67,67,57,-0.27,0.02,1,0,0,0.746480799978599,target,001,part1,2018_Dec_24_1908,fitts,60.0361177378626,
