size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,60,400,0,35,35,72,-0.1275,-0.10888888888888888,1,0,0,0.7819038000889122,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,300,0,36,36,42,-0.05625,0.5666666666666667,1,0,0,0.5325628999853507,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,100,0,37,37,13,-0.315,0.4577777777777778,1,0,0,0.6818386999657378,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,100,0,38,38,0,-0.25875,0.5955555555555555,1,0,0,0.5651661999290809,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,100,0,39,39,17,-0.335,0.4488888888888889,1,0,0,0.6146579999476671,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,500,0,40,40,91,0.035,-0.015555555555555555,1,0,0,0.6655579999787733,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,200,0,41,41,33,-0.21625,0.18444444444444444,1,0,0,0.44904330000281334,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,200,0,42,42,38,-0.34875,0.2511111111111111,1,0,0,0.4836479000514373,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,500,0,43,43,89,0.065,-0.13111111111111112,1,0,0,0.815515499911271,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,100,0,44,44,19,-0.325,0.43555555555555553,1,0,0,0.41615149995777756,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,500,0,45,45,87,0.13,0.035555555555555556,1,0,0,0.6153748000506312,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,300,0,46,46,53,-0.20875,0.10666666666666667,1,0,0,0.6487675999524072,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
