size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,45,500,0,0,0,88,0.08625,-0.13555555555555557,1,0,0,1.9982750001363456,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,75,100,0,1,1,16,-0.3475,0.4111111111111111,1,0,0,0.6152015998959541,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,30,500,0,2,2,84,0.1625,0.08666666666666667,1,0,0,0.7164789999369532,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,30,300,0,3,3,46,-0.0375,0.3622222222222222,1,0,0,0.5484721998218447,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,30,400,0,4,4,66,0.065,0.17555555555555555,1,0,0,0.6318465999793261,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,60,300,0,5,5,52,-0.1775,0.09111111111111111,1,0,0,1.0812537998426706,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,60,500,0,6,6,94,-0.09125,-0.28,1,0,0,0.632353900000453,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,30,300,0,7,7,45,-0.03,0.29777777777777775,1,0,0,0.631622799905017,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,15,300,0,8,8,41,-0.055,0.49333333333333335,1,0,0,0.6989879000466317,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,30,300,0,9,9,44,-0.0325,0.31333333333333335,1,0,0,0.6816338999196887,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,15,400,0,10,10,62,0.08,0.3844444444444444,1,0,0,0.5817706000525504,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,45,200,0,11,11,30,-0.18,0.33555555555555555,1,0,0,0.6318127999547869,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,60,200,0,12,12,35,-0.23125,0.26666666666666666,1,0,0,0.4655185001902282,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,75,100,0,13,13,18,-0.33375,0.44,1,0,0,0.6987419000361115,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,30,200,0,14,14,25,-0.175,0.4688888888888889,1,0,0,1.3479114999063313,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,45,400,0,15,15,69,-0.065,0.06888888888888889,1,0,0,0.9969585000071675,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,60,500,0,16,16,92,-0.0875,-0.28,1,0,0,0.8455740998033434,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,45,300,0,17,17,49,-0.1275,0.2111111111111111,1,0,0,0.8482174000237137,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,75,400,0,18,18,76,-0.2575,-0.16666666666666666,1,0,0,0.9314297998789698,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,60,400,0,19,19,73,-0.1425,-0.06888888888888889,1,0,0,0.7481949999928474,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,45,100,0,20,20,11,-0.31,0.54,1,0,0,0.3995262000244111,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,15,200,0,21,21,23,-0.29875,0.6266666666666667,1,0,0,0.3818349000066519,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,15,300,0,22,22,43,-0.03125,0.5133333333333333,1,0,0,0.4318011000286788,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,45,100,0,23,23,9,-0.25875,0.5111111111111111,1,0,0,0.5981829001102597,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,75,300,0,24,24,59,-0.2825,0.05333333333333334,1,0,0,0.7482813999522477,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,30,100,0,25,25,7,-0.3,0.5288888888888889,1,0,0,0.3987030000425875,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,75,500,0,26,26,96,-0.19625,-0.43777777777777777,1,0,0,1.0802549000363797,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,15,500,0,27,27,80,0.2025,0.35333333333333333,1,0,0,1.0644342000596225,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,15,500,0,28,28,81,0.24,0.32666666666666666,1,0,0,0.864801499992609,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,45,200,0,29,29,28,-0.195,0.3933333333333333,1,0,0,1.5799964999314398,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
200,60,200,0,30,30,33,-0.28,0.2688888888888889,1,0,0,0.6818666001781821,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,60,400,0,31,31,72,-0.14875,-0.08888888888888889,1,0,0,0.931743900058791,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,45,500,0,32,32,91,-0.00625,-0.015555555555555555,1,0,0,0.5654324002098292,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,60,300,0,33,33,54,-0.23,0.08888888888888889,1,0,0,0.46633520000614226,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
400,75,200,0,34,34,39,-0.33875,0.35333333333333333,1,0,0,0.7479344001039863,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,60,400,0,35,35,74,-0.14875,0.006666666666666667,1,0,0,0.8817845000885427,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
100,45,400,0,36,36,68,-0.0175,0.04888888888888889,1,0,0,2.411961799953133,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,75,300,0,37,37,58,-0.29375,-0.02,1,0,0,2.0127977998927236,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
300,15,200,0,38,38,22,-0.13875,0.5377777777777778,1,0,0,0.5150389999616891,target,001,part4,2019_Jan_05_1600,fitts,60.14086189311004,
